"","X","did_purchase","recommendation","polar_norm","Real_Review"
"1",3,FALSE,FALSE,4.6,"Fake Don't Recommand"
"2",4,FALSE,FALSE,2,"Fake Don't Recommand"
"3",5,FALSE,FALSE,0.4,"Fake Don't Recommand"
"4",6,FALSE,FALSE,6,"Fake Don't Recommand"
"5",7,FALSE,FALSE,5,"Fake Don't Recommand"
"6",8,FALSE,FALSE,8,"Fake Don't Recommand"
"7",9,FALSE,FALSE,2,"Fake Don't Recommand"
"8",10,FALSE,FALSE,4,"Fake Don't Recommand"
"9",11,FALSE,FALSE,1,"Fake Don't Recommand"
"10",12,FALSE,FALSE,3,"Fake Don't Recommand"
"11",13,FALSE,FALSE,1.5,"Fake Don't Recommand"
"12",14,FALSE,FALSE,1,"Fake Don't Recommand"
"13",15,FALSE,FALSE,1.5,"Fake Don't Recommand"
"14",17,FALSE,FALSE,1.5,"Fake Don't Recommand"
"15",19,FALSE,FALSE,0.666666667,"Fake Don't Recommand"
"16",41,FALSE,FALSE,2.5,"Fake Don't Recommand"
"17",56,FALSE,FALSE,3,"Fake Don't Recommand"
"18",57,FALSE,FALSE,4,"Fake Don't Recommand"
"19",58,FALSE,FALSE,2.5,"Fake Don't Recommand"
"20",59,FALSE,FALSE,1.6,"Fake Don't Recommand"
"21",60,FALSE,FALSE,3.666666667,"Fake Don't Recommand"
"22",61,FALSE,FALSE,1.833333333,"Fake Don't Recommand"
"23",62,FALSE,FALSE,1.714285714,"Fake Don't Recommand"
"24",63,FALSE,FALSE,3,"Fake Don't Recommand"
"25",66,FALSE,FALSE,1.777777778,"Fake Don't Recommand"
"26",67,FALSE,FALSE,1,"Fake Don't Recommand"
"27",128,FALSE,FALSE,1.75,"Fake Don't Recommand"
"28",235,FALSE,FALSE,4,"Fake Don't Recommand"
"29",250,FALSE,FALSE,1,"Fake Don't Recommand"
"30",259,FALSE,FALSE,4,"Fake Don't Recommand"
"31",304,FALSE,FALSE,1.5,"Fake Don't Recommand"
"32",365,FALSE,FALSE,5,"Fake Don't Recommand"
"33",478,FALSE,FALSE,0.833333333,"Fake Don't Recommand"
"34",707,FALSE,FALSE,1,"Fake Don't Recommand"
"35",709,FALSE,FALSE,1.333333333,"Fake Don't Recommand"
"36",711,FALSE,FALSE,1,"Fake Don't Recommand"
"37",712,FALSE,FALSE,4.5,"Fake Don't Recommand"
"38",713,FALSE,FALSE,5,"Fake Don't Recommand"
"39",714,FALSE,FALSE,7,"Fake Don't Recommand"
"40",716,FALSE,FALSE,3.5,"Fake Don't Recommand"
"41",717,FALSE,FALSE,2,"Fake Don't Recommand"
"42",718,FALSE,FALSE,2.5,"Fake Don't Recommand"
"43",719,FALSE,FALSE,1.666666667,"Fake Don't Recommand"
"44",721,FALSE,FALSE,1,"Fake Don't Recommand"
"45",722,FALSE,FALSE,1.333333333,"Fake Don't Recommand"
"46",723,FALSE,FALSE,3.5,"Fake Don't Recommand"
"47",727,FALSE,FALSE,2.6,"Fake Don't Recommand"
"48",728,FALSE,FALSE,2,"Fake Don't Recommand"
"49",729,FALSE,FALSE,2.142857143,"Fake Don't Recommand"
"50",730,FALSE,FALSE,2.5,"Fake Don't Recommand"
"51",731,FALSE,FALSE,3.333333333,"Fake Don't Recommand"
"52",732,FALSE,FALSE,3.333333333,"Fake Don't Recommand"
"53",734,FALSE,FALSE,9,"Fake Don't Recommand"
"54",736,FALSE,FALSE,5,"Fake Don't Recommand"
"55",737,FALSE,FALSE,2.2,"Fake Don't Recommand"
"56",738,FALSE,FALSE,1.666666667,"Fake Don't Recommand"
"57",739,FALSE,FALSE,2.2,"Fake Don't Recommand"
"58",740,FALSE,FALSE,1.166666667,"Fake Don't Recommand"
"59",741,FALSE,FALSE,2.333333333,"Fake Don't Recommand"
"60",742,FALSE,FALSE,1,"Fake Don't Recommand"
"61",743,FALSE,FALSE,4,"Fake Don't Recommand"
"62",744,FALSE,FALSE,2,"Fake Don't Recommand"
"63",745,FALSE,FALSE,3,"Fake Don't Recommand"
"64",747,FALSE,FALSE,0.875,"Fake Don't Recommand"
"65",748,FALSE,FALSE,3,"Fake Don't Recommand"
"66",754,FALSE,FALSE,2,"Fake Don't Recommand"
"67",759,FALSE,FALSE,1,"Fake Don't Recommand"
"68",760,FALSE,FALSE,2.333333333,"Fake Don't Recommand"
"69",761,FALSE,FALSE,4,"Fake Don't Recommand"
"70",762,FALSE,FALSE,1.75,"Fake Don't Recommand"
"71",763,FALSE,FALSE,1.25,"Fake Don't Recommand"
"72",764,FALSE,FALSE,4,"Fake Don't Recommand"
"73",765,FALSE,FALSE,2.333333333,"Fake Don't Recommand"
"74",766,FALSE,FALSE,2,"Fake Don't Recommand"
"75",767,FALSE,FALSE,2.2,"Fake Don't Recommand"
"76",769,FALSE,FALSE,1,"Fake Don't Recommand"
"77",770,FALSE,FALSE,2,"Fake Don't Recommand"
"78",778,FALSE,FALSE,1.5,"Fake Don't Recommand"
"79",779,FALSE,FALSE,4.714285714,"Fake Don't Recommand"
"80",797,FALSE,FALSE,3.5,"Fake Don't Recommand"
"81",1073,FALSE,FALSE,3,"Fake Don't Recommand"
"82",1080,FALSE,FALSE,2,"Fake Don't Recommand"
"83",1081,FALSE,FALSE,3,"Fake Don't Recommand"
"84",1092,FALSE,FALSE,1.625,"Fake Don't Recommand"
"85",1094,FALSE,FALSE,3.5,"Fake Don't Recommand"
"86",1097,FALSE,FALSE,2,"Fake Don't Recommand"
"87",1098,FALSE,FALSE,2,"Fake Don't Recommand"
"88",1102,FALSE,FALSE,1.8,"Fake Don't Recommand"
"89",1103,FALSE,FALSE,1,"Fake Don't Recommand"
"90",1104,FALSE,FALSE,3,"Fake Don't Recommand"
