"","X","did_purchase","recommendation","polar_norm","Real_Review"
"1",20,FALSE,TRUE,2,"Fake Recommand"
"2",21,FALSE,TRUE,2.333333333,"Fake Recommand"
"3",22,FALSE,TRUE,4,"Fake Recommand"
"4",25,FALSE,TRUE,2.833333333,"Fake Recommand"
"5",26,FALSE,TRUE,2,"Fake Recommand"
"6",27,FALSE,TRUE,6,"Fake Recommand"
"7",28,FALSE,TRUE,1.333333333,"Fake Recommand"
"8",29,FALSE,TRUE,1,"Fake Recommand"
"9",43,FALSE,TRUE,1,"Fake Recommand"
"10",45,FALSE,TRUE,1.857142857,"Fake Recommand"
"11",47,FALSE,TRUE,1,"Fake Recommand"
"12",50,FALSE,TRUE,1.6,"Fake Recommand"
"13",51,FALSE,TRUE,5,"Fake Recommand"
"14",52,FALSE,TRUE,1.5,"Fake Recommand"
"15",53,FALSE,TRUE,3,"Fake Recommand"
"16",71,FALSE,TRUE,4,"Fake Recommand"
"17",74,FALSE,TRUE,5,"Fake Recommand"
"18",75,FALSE,TRUE,4.5,"Fake Recommand"
"19",76,FALSE,TRUE,1.333333333,"Fake Recommand"
"20",77,FALSE,TRUE,2,"Fake Recommand"
"21",80,FALSE,TRUE,0.5,"Fake Recommand"
"22",81,FALSE,TRUE,2,"Fake Recommand"
"23",82,FALSE,TRUE,2.25,"Fake Recommand"
"24",83,FALSE,TRUE,1,"Fake Recommand"
"25",84,FALSE,TRUE,1,"Fake Recommand"
"26",85,FALSE,TRUE,0.666666667,"Fake Recommand"
"27",86,FALSE,TRUE,1.666666667,"Fake Recommand"
"28",87,FALSE,TRUE,1,"Fake Recommand"
"29",89,FALSE,TRUE,1,"Fake Recommand"
"30",90,FALSE,TRUE,2,"Fake Recommand"
"31",91,FALSE,TRUE,3,"Fake Recommand"
"32",94,FALSE,TRUE,0.5,"Fake Recommand"
"33",96,FALSE,TRUE,2,"Fake Recommand"
"34",97,FALSE,TRUE,2,"Fake Recommand"
"35",98,FALSE,TRUE,1,"Fake Recommand"
"36",99,FALSE,TRUE,0,"Fake Recommand"
"37",100,FALSE,TRUE,1,"Fake Recommand"
"38",102,FALSE,TRUE,1.333333333,"Fake Recommand"
"39",103,FALSE,TRUE,3,"Fake Recommand"
"40",105,FALSE,TRUE,1,"Fake Recommand"
"41",106,FALSE,TRUE,3,"Fake Recommand"
"42",107,FALSE,TRUE,4,"Fake Recommand"
"43",109,FALSE,TRUE,0.666666667,"Fake Recommand"
"44",111,FALSE,TRUE,0.5,"Fake Recommand"
"45",113,FALSE,TRUE,2.5,"Fake Recommand"
"46",114,FALSE,TRUE,1,"Fake Recommand"
"47",115,FALSE,TRUE,2,"Fake Recommand"
"48",116,FALSE,TRUE,1,"Fake Recommand"
"49",117,FALSE,TRUE,1.666666667,"Fake Recommand"
"50",118,FALSE,TRUE,3,"Fake Recommand"
"51",120,FALSE,TRUE,2,"Fake Recommand"
"52",121,FALSE,TRUE,0.8,"Fake Recommand"
"53",122,FALSE,TRUE,1.666666667,"Fake Recommand"
"54",123,FALSE,TRUE,2,"Fake Recommand"
"55",124,FALSE,TRUE,2,"Fake Recommand"
"56",126,FALSE,TRUE,1,"Fake Recommand"
"57",127,FALSE,TRUE,1,"Fake Recommand"
"58",130,FALSE,TRUE,2.75,"Fake Recommand"
"59",132,FALSE,TRUE,2.5,"Fake Recommand"
"60",134,FALSE,TRUE,3,"Fake Recommand"
"61",136,FALSE,TRUE,1,"Fake Recommand"
"62",137,FALSE,TRUE,0.714285714,"Fake Recommand"
"63",138,FALSE,TRUE,2.25,"Fake Recommand"
"64",139,FALSE,TRUE,3,"Fake Recommand"
"65",140,FALSE,TRUE,2,"Fake Recommand"
"66",141,FALSE,TRUE,1,"Fake Recommand"
"67",142,FALSE,TRUE,2,"Fake Recommand"
"68",143,FALSE,TRUE,5,"Fake Recommand"
"69",144,FALSE,TRUE,3,"Fake Recommand"
"70",145,FALSE,TRUE,3,"Fake Recommand"
"71",146,FALSE,TRUE,4,"Fake Recommand"
"72",147,FALSE,TRUE,1,"Fake Recommand"
"73",148,FALSE,TRUE,2,"Fake Recommand"
"74",149,FALSE,TRUE,0.666666667,"Fake Recommand"
"75",150,FALSE,TRUE,2,"Fake Recommand"
"76",151,FALSE,TRUE,2,"Fake Recommand"
"77",152,FALSE,TRUE,2,"Fake Recommand"
"78",153,FALSE,TRUE,1,"Fake Recommand"
"79",154,FALSE,TRUE,2,"Fake Recommand"
"80",155,FALSE,TRUE,4,"Fake Recommand"
"81",156,FALSE,TRUE,3.5,"Fake Recommand"
"82",157,FALSE,TRUE,2,"Fake Recommand"
"83",158,FALSE,TRUE,1.571428571,"Fake Recommand"
"84",159,FALSE,TRUE,1,"Fake Recommand"
"85",161,FALSE,TRUE,2.5,"Fake Recommand"
"86",162,FALSE,TRUE,4,"Fake Recommand"
"87",163,FALSE,TRUE,1.25,"Fake Recommand"
"88",165,FALSE,TRUE,3,"Fake Recommand"
"89",166,FALSE,TRUE,1.2,"Fake Recommand"
"90",167,FALSE,TRUE,2,"Fake Recommand"
"91",168,FALSE,TRUE,7,"Fake Recommand"
"92",169,FALSE,TRUE,1.375,"Fake Recommand"
"93",170,FALSE,TRUE,2,"Fake Recommand"
"94",171,FALSE,TRUE,2.5,"Fake Recommand"
"95",172,FALSE,TRUE,1.666666667,"Fake Recommand"
"96",173,FALSE,TRUE,0,"Fake Recommand"
"97",174,FALSE,TRUE,3,"Fake Recommand"
"98",175,FALSE,TRUE,2,"Fake Recommand"
"99",176,FALSE,TRUE,1,"Fake Recommand"
"100",178,FALSE,TRUE,1,"Fake Recommand"
"101",179,FALSE,TRUE,0.8,"Fake Recommand"
"102",181,FALSE,TRUE,1,"Fake Recommand"
"103",182,FALSE,TRUE,1.166666667,"Fake Recommand"
"104",183,FALSE,TRUE,1,"Fake Recommand"
"105",184,FALSE,TRUE,1,"Fake Recommand"
"106",185,FALSE,TRUE,0.5,"Fake Recommand"
"107",186,FALSE,TRUE,2.5,"Fake Recommand"
"108",187,FALSE,TRUE,1,"Fake Recommand"
"109",189,FALSE,TRUE,4,"Fake Recommand"
"110",190,FALSE,TRUE,1,"Fake Recommand"
"111",191,FALSE,TRUE,4,"Fake Recommand"
"112",192,FALSE,TRUE,1,"Fake Recommand"
"113",194,FALSE,TRUE,0.666666667,"Fake Recommand"
"114",195,FALSE,TRUE,1.666666667,"Fake Recommand"
"115",205,FALSE,TRUE,2,"Fake Recommand"
"116",206,FALSE,TRUE,0.5,"Fake Recommand"
"117",207,FALSE,TRUE,3,"Fake Recommand"
"118",209,FALSE,TRUE,2,"Fake Recommand"
"119",210,FALSE,TRUE,0,"Fake Recommand"
"120",211,FALSE,TRUE,4,"Fake Recommand"
"121",212,FALSE,TRUE,1,"Fake Recommand"
"122",213,FALSE,TRUE,0,"Fake Recommand"
"123",214,FALSE,TRUE,3,"Fake Recommand"
