"","X","did_purchase","recommendation","polar_norm","Real_Review"
"2",64,TRUE,FALSE,1,"Real Don't Recommand"
"3",65,TRUE,FALSE,5,"Real Don't Recommand"
"4",68,TRUE,FALSE,2.5,"Real Don't Recommand"
"5",92,TRUE,FALSE,1,"Real Don't Recommand"
"6",1056,TRUE,FALSE,5,"Real Don't Recommand"
"7",1057,TRUE,FALSE,3,"Real Don't Recommand"
"8",1058,TRUE,FALSE,4,"Real Don't Recommand"
"9",1220,TRUE,FALSE,3,"Real Don't Recommand"
"10",1292,TRUE,FALSE,2.5,"Real Don't Recommand"
"11",1334,TRUE,FALSE,3,"Real Don't Recommand"
"12",1417,TRUE,FALSE,2.25,"Real Don't Recommand"
"14",1456,TRUE,FALSE,2,"Real Don't Recommand"
"15",1498,TRUE,FALSE,8,"Real Don't Recommand"
"16",1501,TRUE,FALSE,1.5,"Real Don't Recommand"
"17",1503,TRUE,FALSE,2,"Real Don't Recommand"
"20",2622,TRUE,FALSE,7,"Real Don't Recommand"
"22",3527,TRUE,FALSE,2.5,"Real Don't Recommand"
"23",3529,TRUE,FALSE,0,"Real Don't Recommand"
"24",3637,TRUE,FALSE,2,"Real Don't Recommand"
"25",3654,TRUE,FALSE,2,"Real Don't Recommand"
"26",3688,TRUE,FALSE,0.888888889,"Real Don't Recommand"
"28",3789,TRUE,FALSE,2,"Real Don't Recommand"
"30",4230,TRUE,FALSE,2,"Real Don't Recommand"
"31",4247,TRUE,FALSE,3.25,"Real Don't Recommand"
"32",5480,TRUE,FALSE,2.5,"Real Don't Recommand"
"36",6372,TRUE,FALSE,1.5,"Real Don't Recommand"
"37",6382,TRUE,FALSE,3,"Real Don't Recommand"
"38",6383,TRUE,FALSE,2,"Real Don't Recommand"
"40",6386,TRUE,FALSE,1,"Real Don't Recommand"
"42",6566,TRUE,FALSE,2,"Real Don't Recommand"
"45",15749,TRUE,FALSE,2.666666667,"Real Don't Recommand"
"46",15756,TRUE,FALSE,3,"Real Don't Recommand"
"47",15759,TRUE,FALSE,1.923076923,"Real Don't Recommand"
"48",17393,TRUE,FALSE,1.692307692,"Real Don't Recommand"
"49",17513,TRUE,FALSE,0.666666667,"Real Don't Recommand"
"50",17516,TRUE,FALSE,2.2,"Real Don't Recommand"
"51",17520,TRUE,FALSE,1.333333333,"Real Don't Recommand"
"52",17810,TRUE,FALSE,7,"Real Don't Recommand"
"53",17816,TRUE,FALSE,0,"Real Don't Recommand"
"54",18026,TRUE,FALSE,13,"Real Don't Recommand"
"55",18027,TRUE,FALSE,4,"Real Don't Recommand"
"56",18029,TRUE,FALSE,3.333333333,"Real Don't Recommand"
"57",18070,TRUE,FALSE,1,"Real Don't Recommand"
"61",18415,TRUE,FALSE,6,"Real Don't Recommand"
"63",18439,TRUE,FALSE,2.333333333,"Real Don't Recommand"
"64",18440,TRUE,FALSE,3,"Real Don't Recommand"
"65",18441,TRUE,FALSE,2,"Real Don't Recommand"
"66",18442,TRUE,FALSE,1.730769231,"Real Don't Recommand"
"67",18443,TRUE,FALSE,1.3,"Real Don't Recommand"
"69",18445,TRUE,FALSE,1.875,"Real Don't Recommand"
"70",18446,TRUE,FALSE,0.75,"Real Don't Recommand"
"71",18452,TRUE,FALSE,2,"Real Don't Recommand"
"72",18453,TRUE,FALSE,7,"Real Don't Recommand"
"74",18747,TRUE,FALSE,2.666666667,"Real Don't Recommand"
"75",18812,TRUE,FALSE,1,"Real Don't Recommand"
"76",21000,TRUE,FALSE,1.75,"Real Don't Recommand"
"77",21001,TRUE,FALSE,1.5,"Real Don't Recommand"
"78",21068,TRUE,FALSE,2.333333333,"Real Don't Recommand"
"79",21122,TRUE,FALSE,1,"Real Don't Recommand"
"80",21123,TRUE,FALSE,1.5,"Real Don't Recommand"
"81",21124,TRUE,FALSE,14,"Real Don't Recommand"
"82",21125,TRUE,FALSE,3,"Real Don't Recommand"
"83",21149,TRUE,FALSE,3,"Real Don't Recommand"
"85",21153,TRUE,FALSE,3,"Real Don't Recommand"
"86",21154,TRUE,FALSE,1,"Real Don't Recommand"
"90",22047,TRUE,FALSE,10,"Real Don't Recommand"
"91",22119,TRUE,FALSE,1.666666667,"Real Don't Recommand"
"92",22127,TRUE,FALSE,9,"Real Don't Recommand"
"93",22128,TRUE,FALSE,4,"Real Don't Recommand"
"94",22129,TRUE,FALSE,1.5,"Real Don't Recommand"
"96",22131,TRUE,FALSE,2,"Real Don't Recommand"
"98",22154,TRUE,FALSE,2.5,"Real Don't Recommand"
"101",22310,TRUE,FALSE,1.75,"Real Don't Recommand"
"102",22313,TRUE,FALSE,10,"Real Don't Recommand"
"103",22314,TRUE,FALSE,4.75,"Real Don't Recommand"
"104",22316,TRUE,FALSE,1.5,"Real Don't Recommand"
"105",22396,TRUE,FALSE,2,"Real Don't Recommand"
"106",23020,TRUE,FALSE,3,"Real Don't Recommand"
"109",27079,TRUE,FALSE,1.5,"Real Don't Recommand"
"110",27439,TRUE,FALSE,2,"Real Don't Recommand"
"112",28780,TRUE,FALSE,1,"Real Don't Recommand"
"113",29023,TRUE,FALSE,0,"Real Don't Recommand"
"114",29076,TRUE,FALSE,1,"Real Don't Recommand"
"115",31417,TRUE,FALSE,3,"Real Don't Recommand"
"116",31427,TRUE,FALSE,4,"Real Don't Recommand"
"117",31428,TRUE,FALSE,3,"Real Don't Recommand"
"118",31536,TRUE,FALSE,2,"Real Don't Recommand"
"119",31548,TRUE,FALSE,1.5,"Real Don't Recommand"
"121",31591,TRUE,FALSE,3.5,"Real Don't Recommand"
"122",31594,TRUE,FALSE,1,"Real Don't Recommand"
"123",32411,TRUE,FALSE,2.333333333,"Real Don't Recommand"
"125",32585,TRUE,FALSE,1,"Real Don't Recommand"
"126",32586,TRUE,FALSE,0.5,"Real Don't Recommand"
"130",36548,TRUE,FALSE,3,"Real Don't Recommand"
"131",36722,TRUE,FALSE,1.733333333,"Real Don't Recommand"
"132",36758,TRUE,FALSE,2.25,"Real Don't Recommand"
"133",36877,TRUE,FALSE,4,"Real Don't Recommand"
"134",36881,TRUE,FALSE,2,"Real Don't Recommand"
"135",36882,TRUE,FALSE,4.5,"Real Don't Recommand"
"136",36884,TRUE,FALSE,1.25,"Real Don't Recommand"
"138",38887,TRUE,FALSE,2.5,"Real Don't Recommand"
"139",46023,TRUE,FALSE,1.5,"Real Don't Recommand"
"140",46149,TRUE,FALSE,7,"Real Don't Recommand"
"141",46152,TRUE,FALSE,2.25,"Real Don't Recommand"
"142",46252,TRUE,FALSE,5,"Real Don't Recommand"
"143",46333,TRUE,FALSE,10,"Real Don't Recommand"
"144",46362,TRUE,FALSE,3,"Real Don't Recommand"
"146",46620,TRUE,FALSE,1,"Real Don't Recommand"
"147",46734,TRUE,FALSE,4,"Real Don't Recommand"
"148",46735,TRUE,FALSE,2.333333333,"Real Don't Recommand"
"149",46737,TRUE,FALSE,2,"Real Don't Recommand"
"150",46740,TRUE,FALSE,3,"Real Don't Recommand"
"151",46741,TRUE,FALSE,1,"Real Don't Recommand"
"152",46743,TRUE,FALSE,2.5,"Real Don't Recommand"
"153",46746,TRUE,FALSE,3,"Real Don't Recommand"
"154",46747,TRUE,FALSE,1.75,"Real Don't Recommand"
"155",46749,TRUE,FALSE,3,"Real Don't Recommand"
"157",46752,TRUE,FALSE,1.666666667,"Real Don't Recommand"
"158",46754,TRUE,FALSE,5,"Real Don't Recommand"
"159",46755,TRUE,FALSE,1.333333333,"Real Don't Recommand"
"160",46757,TRUE,FALSE,0.5,"Real Don't Recommand"
"161",46758,TRUE,FALSE,1.8,"Real Don't Recommand"
"162",46759,TRUE,FALSE,1.333333333,"Real Don't Recommand"
"163",46763,TRUE,FALSE,3,"Real Don't Recommand"
