"","X","did_purchase","ratings","recommendation","Real_Review"
"1",3,FALSE,1,FALSE,"Fake Don't Recommand"
"2",4,FALSE,1,FALSE,"Fake Don't Recommand"
"3",5,FALSE,1,FALSE,"Fake Don't Recommand"
"4",6,FALSE,1,FALSE,"Fake Don't Recommand"
"5",7,FALSE,1,FALSE,"Fake Don't Recommand"
"6",8,FALSE,1,FALSE,"Fake Don't Recommand"
"7",9,FALSE,1,FALSE,"Fake Don't Recommand"
"8",10,FALSE,1,FALSE,"Fake Don't Recommand"
"9",11,FALSE,1,FALSE,"Fake Don't Recommand"
"10",12,FALSE,1,FALSE,"Fake Don't Recommand"
"11",13,FALSE,1,FALSE,"Fake Don't Recommand"
"12",14,FALSE,1,FALSE,"Fake Don't Recommand"
"13",15,FALSE,1,FALSE,"Fake Don't Recommand"
"14",17,FALSE,1,FALSE,"Fake Don't Recommand"
"15",19,FALSE,3,FALSE,"Fake Don't Recommand"
"16",41,FALSE,1,FALSE,"Fake Don't Recommand"
"17",56,FALSE,1,FALSE,"Fake Don't Recommand"
"18",57,FALSE,1,FALSE,"Fake Don't Recommand"
"19",58,FALSE,1,FALSE,"Fake Don't Recommand"
"20",59,FALSE,1,FALSE,"Fake Don't Recommand"
"21",60,FALSE,1,FALSE,"Fake Don't Recommand"
"22",61,FALSE,1,FALSE,"Fake Don't Recommand"
"23",62,FALSE,1,FALSE,"Fake Don't Recommand"
"24",63,FALSE,1,FALSE,"Fake Don't Recommand"
"25",66,FALSE,1,FALSE,"Fake Don't Recommand"
"26",67,FALSE,2,FALSE,"Fake Don't Recommand"
"27",79,FALSE,3,FALSE,"Fake Don't Recommand"
"28",128,FALSE,4,FALSE,"Fake Don't Recommand"
"29",204,FALSE,5,FALSE,"Fake Don't Recommand"
"30",235,FALSE,5,FALSE,"Fake Don't Recommand"
"31",250,FALSE,5,FALSE,"Fake Don't Recommand"
"32",253,FALSE,5,FALSE,"Fake Don't Recommand"
"33",259,FALSE,5,FALSE,"Fake Don't Recommand"
"34",304,FALSE,5,FALSE,"Fake Don't Recommand"
"35",365,FALSE,5,FALSE,"Fake Don't Recommand"
"36",478,FALSE,5,FALSE,"Fake Don't Recommand"
"37",707,FALSE,1,FALSE,"Fake Don't Recommand"
"38",708,FALSE,1,FALSE,"Fake Don't Recommand"
"39",709,FALSE,1,FALSE,"Fake Don't Recommand"
"40",710,FALSE,1,FALSE,"Fake Don't Recommand"
"41",711,FALSE,1,FALSE,"Fake Don't Recommand"
"42",712,FALSE,1,FALSE,"Fake Don't Recommand"
"43",713,FALSE,1,FALSE,"Fake Don't Recommand"
"44",714,FALSE,1,FALSE,"Fake Don't Recommand"
"45",715,FALSE,1,FALSE,"Fake Don't Recommand"
"46",716,FALSE,1,FALSE,"Fake Don't Recommand"
"47",717,FALSE,1,FALSE,"Fake Don't Recommand"
"48",718,FALSE,1,FALSE,"Fake Don't Recommand"
"49",719,FALSE,1,FALSE,"Fake Don't Recommand"
