"","X","did_purchase","ratings","recommendation","Real_Review"
"1",20,FALSE,4,TRUE,"Fake Recommand"
"2",21,FALSE,4,TRUE,"Fake Recommand"
"3",22,FALSE,4,TRUE,"Fake Recommand"
"4",25,FALSE,5,TRUE,"Fake Recommand"
"5",26,FALSE,5,TRUE,"Fake Recommand"
"6",27,FALSE,5,TRUE,"Fake Recommand"
"7",28,FALSE,5,TRUE,"Fake Recommand"
"8",29,FALSE,5,TRUE,"Fake Recommand"
"9",43,FALSE,3,TRUE,"Fake Recommand"
"10",45,FALSE,4,TRUE,"Fake Recommand"
"11",46,FALSE,4,TRUE,"Fake Recommand"
"12",47,FALSE,4,TRUE,"Fake Recommand"
"13",48,FALSE,4,TRUE,"Fake Recommand"
"14",49,FALSE,4,TRUE,"Fake Recommand"
"15",50,FALSE,5,TRUE,"Fake Recommand"
"16",51,FALSE,5,TRUE,"Fake Recommand"
"17",52,FALSE,5,TRUE,"Fake Recommand"
"18",53,FALSE,5,TRUE,"Fake Recommand"
"19",69,FALSE,2,TRUE,"Fake Recommand"
"20",71,FALSE,3,TRUE,"Fake Recommand"
"21",72,FALSE,3,TRUE,"Fake Recommand"
"22",74,FALSE,3,TRUE,"Fake Recommand"
"23",75,FALSE,3,TRUE,"Fake Recommand"
"24",76,FALSE,3,TRUE,"Fake Recommand"
"25",77,FALSE,3,TRUE,"Fake Recommand"
"26",80,FALSE,3,TRUE,"Fake Recommand"
"27",81,FALSE,3,TRUE,"Fake Recommand"
"28",82,FALSE,3,TRUE,"Fake Recommand"
"29",83,FALSE,3,TRUE,"Fake Recommand"
"30",84,FALSE,3,TRUE,"Fake Recommand"
"31",85,FALSE,3,TRUE,"Fake Recommand"
"32",86,FALSE,3,TRUE,"Fake Recommand"
"33",87,FALSE,3,TRUE,"Fake Recommand"
"34",88,FALSE,3,TRUE,"Fake Recommand"
"35",89,FALSE,3,TRUE,"Fake Recommand"
"36",90,FALSE,3,TRUE,"Fake Recommand"
"37",91,FALSE,3,TRUE,"Fake Recommand"
