"","X","did_purchase","recommendation","review_length","Real_Review"
"1",3,FALSE,FALSE,126,"Fake Don't Recommand"
"2",4,FALSE,FALSE,26,"Fake Don't Recommand"
"3",5,FALSE,FALSE,52,"Fake Don't Recommand"
"4",6,FALSE,FALSE,47,"Fake Don't Recommand"
"5",7,FALSE,FALSE,48,"Fake Don't Recommand"
"6",8,FALSE,FALSE,35,"Fake Don't Recommand"
"7",9,FALSE,FALSE,37,"Fake Don't Recommand"
"8",10,FALSE,FALSE,29,"Fake Don't Recommand"
"9",11,FALSE,FALSE,24,"Fake Don't Recommand"
"10",12,FALSE,FALSE,17,"Fake Don't Recommand"
"11",13,FALSE,FALSE,22,"Fake Don't Recommand"
"12",14,FALSE,FALSE,33,"Fake Don't Recommand"
"13",15,FALSE,FALSE,32,"Fake Don't Recommand"
"14",17,FALSE,FALSE,18,"Fake Don't Recommand"
"15",19,FALSE,FALSE,35,"Fake Don't Recommand"
"16",41,FALSE,FALSE,25,"Fake Don't Recommand"
"17",56,FALSE,FALSE,37,"Fake Don't Recommand"
"18",57,FALSE,FALSE,52,"Fake Don't Recommand"
"19",58,FALSE,FALSE,51,"Fake Don't Recommand"
"20",59,FALSE,FALSE,61,"Fake Don't Recommand"
"21",60,FALSE,FALSE,60,"Fake Don't Recommand"
"22",61,FALSE,FALSE,68,"Fake Don't Recommand"
"23",62,FALSE,FALSE,92,"Fake Don't Recommand"
"24",63,FALSE,FALSE,67,"Fake Don't Recommand"
"25",66,FALSE,FALSE,157,"Fake Don't Recommand"
"26",67,FALSE,FALSE,44,"Fake Don't Recommand"
"27",79,FALSE,FALSE,38,"Fake Don't Recommand"
"28",128,FALSE,FALSE,52,"Fake Don't Recommand"
"29",204,FALSE,FALSE,25,"Fake Don't Recommand"
"30",235,FALSE,FALSE,33,"Fake Don't Recommand"
"31",250,FALSE,FALSE,31,"Fake Don't Recommand"
"32",253,FALSE,FALSE,32,"Fake Don't Recommand"
"33",259,FALSE,FALSE,30,"Fake Don't Recommand"
"34",304,FALSE,FALSE,29,"Fake Don't Recommand"
"35",365,FALSE,FALSE,42,"Fake Don't Recommand"
"36",478,FALSE,FALSE,72,"Fake Don't Recommand"
"37",707,FALSE,FALSE,14,"Fake Don't Recommand"
"38",708,FALSE,FALSE,18,"Fake Don't Recommand"
"39",709,FALSE,FALSE,31,"Fake Don't Recommand"
"40",710,FALSE,FALSE,22,"Fake Don't Recommand"
"41",711,FALSE,FALSE,81,"Fake Don't Recommand"
"42",712,FALSE,FALSE,71,"Fake Don't Recommand"
"43",713,FALSE,FALSE,73,"Fake Don't Recommand"
"44",714,FALSE,FALSE,71,"Fake Don't Recommand"
"45",715,FALSE,FALSE,45,"Fake Don't Recommand"
"46",716,FALSE,FALSE,40,"Fake Don't Recommand"
"47",717,FALSE,FALSE,58,"Fake Don't Recommand"
"48",718,FALSE,FALSE,61,"Fake Don't Recommand"
"49",719,FALSE,FALSE,54,"Fake Don't Recommand"
"50",720,FALSE,FALSE,50,"Fake Don't Recommand"
"51",721,FALSE,FALSE,52,"Fake Don't Recommand"
"52",722,FALSE,FALSE,51,"Fake Don't Recommand"
"53",723,FALSE,FALSE,45,"Fake Don't Recommand"
"54",724,FALSE,FALSE,57,"Fake Don't Recommand"
"55",725,FALSE,FALSE,55,"Fake Don't Recommand"
"56",726,FALSE,FALSE,45,"Fake Don't Recommand"
"57",727,FALSE,FALSE,153,"Fake Don't Recommand"
"58",728,FALSE,FALSE,170,"Fake Don't Recommand"
"59",729,FALSE,FALSE,120,"Fake Don't Recommand"
"60",730,FALSE,FALSE,120,"Fake Don't Recommand"
"61",731,FALSE,FALSE,67,"Fake Don't Recommand"
"62",732,FALSE,FALSE,122,"Fake Don't Recommand"
"63",733,FALSE,FALSE,89,"Fake Don't Recommand"
"64",734,FALSE,FALSE,71,"Fake Don't Recommand"
"65",736,FALSE,FALSE,87,"Fake Don't Recommand"
"66",737,FALSE,FALSE,97,"Fake Don't Recommand"
"67",738,FALSE,FALSE,62,"Fake Don't Recommand"
"68",739,FALSE,FALSE,84,"Fake Don't Recommand"
"69",740,FALSE,FALSE,88,"Fake Don't Recommand"
"70",741,FALSE,FALSE,80,"Fake Don't Recommand"
"71",742,FALSE,FALSE,82,"Fake Don't Recommand"
"72",743,FALSE,FALSE,79,"Fake Don't Recommand"
"73",744,FALSE,FALSE,75,"Fake Don't Recommand"
"74",745,FALSE,FALSE,64,"Fake Don't Recommand"
"75",746,FALSE,FALSE,11,"Fake Don't Recommand"
"76",747,FALSE,FALSE,105,"Fake Don't Recommand"
"77",748,FALSE,FALSE,135,"Fake Don't Recommand"
"78",749,FALSE,FALSE,118,"Fake Don't Recommand"
"79",750,FALSE,FALSE,19,"Fake Don't Recommand"
"80",751,FALSE,FALSE,17,"Fake Don't Recommand"
"81",752,FALSE,FALSE,32,"Fake Don't Recommand"
"82",753,FALSE,FALSE,33,"Fake Don't Recommand"
"83",754,FALSE,FALSE,31,"Fake Don't Recommand"
"84",755,FALSE,FALSE,18,"Fake Don't Recommand"
"85",756,FALSE,FALSE,19,"Fake Don't Recommand"
"86",758,FALSE,FALSE,26,"Fake Don't Recommand"
"87",759,FALSE,FALSE,34,"Fake Don't Recommand"
"88",760,FALSE,FALSE,28,"Fake Don't Recommand"
"89",761,FALSE,FALSE,21,"Fake Don't Recommand"
"90",762,FALSE,FALSE,77,"Fake Don't Recommand"
"91",763,FALSE,FALSE,65,"Fake Don't Recommand"
"92",764,FALSE,FALSE,42,"Fake Don't Recommand"
"93",765,FALSE,FALSE,59,"Fake Don't Recommand"
"94",766,FALSE,FALSE,46,"Fake Don't Recommand"
"95",767,FALSE,FALSE,105,"Fake Don't Recommand"
"96",769,FALSE,FALSE,86,"Fake Don't Recommand"
"97",770,FALSE,FALSE,77,"Fake Don't Recommand"
"98",776,FALSE,FALSE,39,"Fake Don't Recommand"
"99",778,FALSE,FALSE,57,"Fake Don't Recommand"
"100",779,FALSE,FALSE,180,"Fake Don't Recommand"
"101",797,FALSE,FALSE,71,"Fake Don't Recommand"
"102",1073,FALSE,FALSE,21,"Fake Don't Recommand"
"103",1080,FALSE,FALSE,49,"Fake Don't Recommand"
"104",1081,FALSE,FALSE,42,"Fake Don't Recommand"
"105",1087,FALSE,FALSE,18,"Fake Don't Recommand"
"106",1092,FALSE,FALSE,134,"Fake Don't Recommand"
"107",1094,FALSE,FALSE,39,"Fake Don't Recommand"
"108",1095,FALSE,FALSE,13,"Fake Don't Recommand"
"109",1096,FALSE,FALSE,83,"Fake Don't Recommand"
"110",1097,FALSE,FALSE,31,"Fake Don't Recommand"
"111",1098,FALSE,FALSE,54,"Fake Don't Recommand"
"112",1102,FALSE,FALSE,81,"Fake Don't Recommand"
"113",1103,FALSE,FALSE,46,"Fake Don't Recommand"
"114",1104,FALSE,FALSE,33,"Fake Don't Recommand"
"115",1109,FALSE,FALSE,66,"Fake Don't Recommand"
"116",1288,FALSE,FALSE,97,"Fake Don't Recommand"
"117",1289,FALSE,FALSE,98,"Fake Don't Recommand"
"118",1290,FALSE,FALSE,70,"Fake Don't Recommand"
"119",1291,FALSE,FALSE,16,"Fake Don't Recommand"
"120",1323,FALSE,FALSE,209,"Fake Don't Recommand"
"121",1324,FALSE,FALSE,248,"Fake Don't Recommand"
"122",1325,FALSE,FALSE,22,"Fake Don't Recommand"
"123",1327,FALSE,FALSE,39,"Fake Don't Recommand"
"124",1328,FALSE,FALSE,221,"Fake Don't Recommand"
"125",1333,FALSE,FALSE,41,"Fake Don't Recommand"
"126",1335,FALSE,FALSE,194,"Fake Don't Recommand"
"127",1403,FALSE,FALSE,32,"Fake Don't Recommand"
"128",1404,FALSE,FALSE,24,"Fake Don't Recommand"
"129",1405,FALSE,FALSE,14,"Fake Don't Recommand"
"130",1407,FALSE,FALSE,59,"Fake Don't Recommand"
"131",1408,FALSE,FALSE,69,"Fake Don't Recommand"
"132",1409,FALSE,FALSE,49,"Fake Don't Recommand"
"133",1410,FALSE,FALSE,204,"Fake Don't Recommand"
"134",1411,FALSE,FALSE,95,"Fake Don't Recommand"
"135",1412,FALSE,FALSE,132,"Fake Don't Recommand"
"136",1413,FALSE,FALSE,94,"Fake Don't Recommand"
"137",1414,FALSE,FALSE,35,"Fake Don't Recommand"
"138",1415,FALSE,FALSE,51,"Fake Don't Recommand"
"139",1416,FALSE,FALSE,43,"Fake Don't Recommand"
"140",1418,FALSE,FALSE,137,"Fake Don't Recommand"
"141",1500,FALSE,FALSE,113,"Fake Don't Recommand"
"142",3284,FALSE,FALSE,66,"Fake Don't Recommand"
"143",3285,FALSE,FALSE,57,"Fake Don't Recommand"
"144",3286,FALSE,FALSE,18,"Fake Don't Recommand"
"145",3287,FALSE,FALSE,11,"Fake Don't Recommand"
"146",3288,FALSE,FALSE,69,"Fake Don't Recommand"
"147",3289,FALSE,FALSE,40,"Fake Don't Recommand"
"148",3290,FALSE,FALSE,22,"Fake Don't Recommand"
"149",3291,FALSE,FALSE,10,"Fake Don't Recommand"
"150",3292,FALSE,FALSE,55,"Fake Don't Recommand"
"151",3294,FALSE,FALSE,62,"Fake Don't Recommand"
"152",3507,FALSE,FALSE,28,"Fake Don't Recommand"
"153",3508,FALSE,FALSE,18,"Fake Don't Recommand"
"154",3509,FALSE,FALSE,10,"Fake Don't Recommand"
"155",3510,FALSE,FALSE,21,"Fake Don't Recommand"
"156",3526,FALSE,FALSE,31,"Fake Don't Recommand"
"157",3623,FALSE,FALSE,51,"Fake Don't Recommand"
"158",3624,FALSE,FALSE,140,"Fake Don't Recommand"
"159",3625,FALSE,FALSE,95,"Fake Don't Recommand"
"160",3626,FALSE,FALSE,121,"Fake Don't Recommand"
"161",3627,FALSE,FALSE,85,"Fake Don't Recommand"
"162",3628,FALSE,FALSE,45,"Fake Don't Recommand"
"163",3682,FALSE,FALSE,25,"Fake Don't Recommand"
"164",3686,FALSE,FALSE,95,"Fake Don't Recommand"
"165",3698,FALSE,FALSE,173,"Fake Don't Recommand"
"166",3699,FALSE,FALSE,27,"Fake Don't Recommand"
"167",3701,FALSE,FALSE,10,"Fake Don't Recommand"
"168",3703,FALSE,FALSE,20,"Fake Don't Recommand"
"169",3738,FALSE,FALSE,33,"Fake Don't Recommand"
"170",3742,FALSE,FALSE,104,"Fake Don't Recommand"
"171",4224,FALSE,FALSE,44,"Fake Don't Recommand"
