"","X","did_purchase","recommendation","review_length","Real_Review"
"1",20,FALSE,TRUE,153,"Fake Recommand"
"2",21,FALSE,TRUE,34,"Fake Recommand"
"3",22,FALSE,TRUE,16,"Fake Recommand"
"4",25,FALSE,TRUE,98,"Fake Recommand"
"5",26,FALSE,TRUE,53,"Fake Recommand"
"6",27,FALSE,TRUE,31,"Fake Recommand"
"7",28,FALSE,TRUE,30,"Fake Recommand"
"8",29,FALSE,TRUE,9,"Fake Recommand"
"9",43,FALSE,TRUE,34,"Fake Recommand"
"10",45,FALSE,TRUE,79,"Fake Recommand"
"11",46,FALSE,TRUE,17,"Fake Recommand"
"12",47,FALSE,TRUE,31,"Fake Recommand"
"13",48,FALSE,TRUE,28,"Fake Recommand"
"14",49,FALSE,TRUE,9,"Fake Recommand"
"15",50,FALSE,TRUE,37,"Fake Recommand"
"16",51,FALSE,TRUE,44,"Fake Recommand"
"17",52,FALSE,TRUE,13,"Fake Recommand"
"18",53,FALSE,TRUE,15,"Fake Recommand"
"19",69,FALSE,TRUE,12,"Fake Recommand"
"20",71,FALSE,TRUE,26,"Fake Recommand"
"21",72,FALSE,TRUE,35,"Fake Recommand"
"22",74,FALSE,TRUE,46,"Fake Recommand"
"23",75,FALSE,TRUE,50,"Fake Recommand"
"24",76,FALSE,TRUE,44,"Fake Recommand"
"25",77,FALSE,TRUE,12,"Fake Recommand"
"26",80,FALSE,TRUE,30,"Fake Recommand"
"27",81,FALSE,TRUE,18,"Fake Recommand"
"28",82,FALSE,TRUE,58,"Fake Recommand"
"29",83,FALSE,TRUE,39,"Fake Recommand"
"30",84,FALSE,TRUE,11,"Fake Recommand"
"31",85,FALSE,TRUE,20,"Fake Recommand"
"32",86,FALSE,TRUE,55,"Fake Recommand"
"33",87,FALSE,TRUE,21,"Fake Recommand"
"34",88,FALSE,TRUE,21,"Fake Recommand"
"35",89,FALSE,TRUE,15,"Fake Recommand"
"36",90,FALSE,TRUE,13,"Fake Recommand"
"37",91,FALSE,TRUE,51,"Fake Recommand"
"38",94,FALSE,TRUE,24,"Fake Recommand"
"39",95,FALSE,TRUE,25,"Fake Recommand"
"40",96,FALSE,TRUE,21,"Fake Recommand"
"41",97,FALSE,TRUE,22,"Fake Recommand"
"42",98,FALSE,TRUE,21,"Fake Recommand"
"43",99,FALSE,TRUE,24,"Fake Recommand"
"44",100,FALSE,TRUE,16,"Fake Recommand"
"45",101,FALSE,TRUE,37,"Fake Recommand"
"46",102,FALSE,TRUE,39,"Fake Recommand"
"47",103,FALSE,TRUE,35,"Fake Recommand"
"48",104,FALSE,TRUE,29,"Fake Recommand"
"49",105,FALSE,TRUE,28,"Fake Recommand"
"50",106,FALSE,TRUE,33,"Fake Recommand"
"51",107,FALSE,TRUE,31,"Fake Recommand"
"52",108,FALSE,TRUE,33,"Fake Recommand"
"53",109,FALSE,TRUE,32,"Fake Recommand"
"54",110,FALSE,TRUE,40,"Fake Recommand"
"55",111,FALSE,TRUE,30,"Fake Recommand"
"56",112,FALSE,TRUE,25,"Fake Recommand"
"57",113,FALSE,TRUE,26,"Fake Recommand"
"58",114,FALSE,TRUE,27,"Fake Recommand"
"59",115,FALSE,TRUE,28,"Fake Recommand"
"60",116,FALSE,TRUE,43,"Fake Recommand"
"61",117,FALSE,TRUE,51,"Fake Recommand"
"62",118,FALSE,TRUE,45,"Fake Recommand"
"63",119,FALSE,TRUE,53,"Fake Recommand"
"64",120,FALSE,TRUE,47,"Fake Recommand"
"65",121,FALSE,TRUE,45,"Fake Recommand"
"66",122,FALSE,TRUE,40,"Fake Recommand"
"67",123,FALSE,TRUE,41,"Fake Recommand"
"68",124,FALSE,TRUE,37,"Fake Recommand"
"69",126,FALSE,TRUE,11,"Fake Recommand"
"70",127,FALSE,TRUE,56,"Fake Recommand"
"71",129,FALSE,TRUE,12,"Fake Recommand"
"72",130,FALSE,TRUE,69,"Fake Recommand"
"73",132,FALSE,TRUE,20,"Fake Recommand"
"74",133,FALSE,TRUE,11,"Fake Recommand"
"75",134,FALSE,TRUE,66,"Fake Recommand"
"76",136,FALSE,TRUE,16,"Fake Recommand"
"77",137,FALSE,TRUE,67,"Fake Recommand"
"78",138,FALSE,TRUE,61,"Fake Recommand"
"79",139,FALSE,TRUE,59,"Fake Recommand"
"80",140,FALSE,TRUE,55,"Fake Recommand"
"81",141,FALSE,TRUE,19,"Fake Recommand"
"82",142,FALSE,TRUE,12,"Fake Recommand"
"83",143,FALSE,TRUE,13,"Fake Recommand"
"84",144,FALSE,TRUE,24,"Fake Recommand"
"85",145,FALSE,TRUE,81,"Fake Recommand"
"86",146,FALSE,TRUE,25,"Fake Recommand"
"87",147,FALSE,TRUE,28,"Fake Recommand"
"88",148,FALSE,TRUE,25,"Fake Recommand"
"89",149,FALSE,TRUE,26,"Fake Recommand"
"90",150,FALSE,TRUE,11,"Fake Recommand"
"91",151,FALSE,TRUE,51,"Fake Recommand"
"92",152,FALSE,TRUE,41,"Fake Recommand"
"93",153,FALSE,TRUE,21,"Fake Recommand"
