"","X","did_purchase","ratings","recommendation","Real_Review"
"1",18,TRUE,3,TRUE,"Real Recommand"
"2",24,TRUE,5,TRUE,"Real Recommand"
"3",31,TRUE,5,TRUE,"Real Recommand"
"4",32,TRUE,5,TRUE,"Real Recommand"
"5",33,TRUE,5,TRUE,"Real Recommand"
"6",34,TRUE,5,TRUE,"Real Recommand"
"7",35,TRUE,5,TRUE,"Real Recommand"
"8",36,TRUE,4,TRUE,"Real Recommand"
"9",38,TRUE,5,TRUE,"Real Recommand"
"10",39,TRUE,5,TRUE,"Real Recommand"
"11",54,TRUE,5,TRUE,"Real Recommand"
"12",55,TRUE,5,TRUE,"Real Recommand"
"13",188,TRUE,4,TRUE,"Real Recommand"
"14",622,TRUE,5,TRUE,"Real Recommand"
"15",668,TRUE,5,TRUE,"Real Recommand"
"16",678,TRUE,5,TRUE,"Real Recommand"
"17",684,TRUE,5,TRUE,"Real Recommand"
"18",700,TRUE,5,TRUE,"Real Recommand"
"19",771,TRUE,3,TRUE,"Real Recommand"
"20",807,TRUE,4,TRUE,"Real Recommand"
"21",812,TRUE,4,TRUE,"Real Recommand"
"22",816,TRUE,4,TRUE,"Real Recommand"
"23",853,TRUE,5,TRUE,"Real Recommand"
"24",859,TRUE,5,TRUE,"Real Recommand"
"25",861,TRUE,5,TRUE,"Real Recommand"
"26",866,TRUE,5,TRUE,"Real Recommand"
"27",892,TRUE,5,TRUE,"Real Recommand"
"28",909,TRUE,5,TRUE,"Real Recommand"
"29",916,TRUE,5,TRUE,"Real Recommand"
"30",920,TRUE,5,TRUE,"Real Recommand"
"31",930,TRUE,5,TRUE,"Real Recommand"
"32",952,TRUE,5,TRUE,"Real Recommand"
"33",955,TRUE,5,TRUE,"Real Recommand"
"34",958,TRUE,5,TRUE,"Real Recommand"
"35",960,TRUE,5,TRUE,"Real Recommand"
"36",967,TRUE,5,TRUE,"Real Recommand"
"37",968,TRUE,5,TRUE,"Real Recommand"
"38",975,TRUE,5,TRUE,"Real Recommand"
"39",981,TRUE,5,TRUE,"Real Recommand"
"40",982,TRUE,5,TRUE,"Real Recommand"
"41",983,TRUE,5,TRUE,"Real Recommand"
"42",984,TRUE,5,TRUE,"Real Recommand"
"43",986,TRUE,5,TRUE,"Real Recommand"
"44",996,TRUE,5,TRUE,"Real Recommand"
"45",1015,TRUE,5,TRUE,"Real Recommand"
"46",1023,TRUE,5,TRUE,"Real Recommand"
"47",1029,TRUE,5,TRUE,"Real Recommand"
"48",1033,TRUE,5,TRUE,"Real Recommand"
"49",1041,TRUE,5,TRUE,"Real Recommand"
"50",1053,TRUE,5,TRUE,"Real Recommand"
"51",1059,TRUE,4,TRUE,"Real Recommand"
"52",1061,TRUE,5,TRUE,"Real Recommand"
"53",1063,TRUE,5,TRUE,"Real Recommand"
"54",1064,TRUE,5,TRUE,"Real Recommand"
"55",1065,TRUE,5,TRUE,"Real Recommand"
"56",1066,TRUE,5,TRUE,"Real Recommand"
"57",1067,TRUE,5,TRUE,"Real Recommand"
"58",1068,TRUE,5,TRUE,"Real Recommand"
"59",1159,TRUE,5,TRUE,"Real Recommand"
"60",1169,TRUE,5,TRUE,"Real Recommand"
"61",1172,TRUE,5,TRUE,"Real Recommand"
"62",1175,TRUE,5,TRUE,"Real Recommand"
"63",1177,TRUE,5,TRUE,"Real Recommand"
"64",1200,TRUE,5,TRUE,"Real Recommand"
"65",1202,TRUE,5,TRUE,"Real Recommand"
"66",1203,TRUE,5,TRUE,"Real Recommand"
"67",1204,TRUE,5,TRUE,"Real Recommand"
"68",1207,TRUE,5,TRUE,"Real Recommand"
"69",1208,TRUE,5,TRUE,"Real Recommand"
"70",1210,TRUE,5,TRUE,"Real Recommand"
"71",1211,TRUE,5,TRUE,"Real Recommand"
"72",1214,TRUE,5,TRUE,"Real Recommand"
"73",1215,TRUE,5,TRUE,"Real Recommand"
"74",1223,TRUE,5,TRUE,"Real Recommand"
"75",1224,TRUE,5,TRUE,"Real Recommand"
