"","X","did_purchase","ratings","recommendation","Real_Review"
"1",40,TRUE,1,FALSE,"Real Don't Recommand"
"2",64,TRUE,1,FALSE,"Real Don't Recommand"
"3",65,TRUE,1,FALSE,"Real Don't Recommand"
"4",68,TRUE,2,FALSE,"Real Don't Recommand"
"5",92,TRUE,3,FALSE,"Real Don't Recommand"
"6",1056,TRUE,1,FALSE,"Real Don't Recommand"
"7",1057,TRUE,2,FALSE,"Real Don't Recommand"
"8",1058,TRUE,3,FALSE,"Real Don't Recommand"
"9",1220,TRUE,1,FALSE,"Real Don't Recommand"
"10",1292,TRUE,3,FALSE,"Real Don't Recommand"
"11",1334,TRUE,3,FALSE,"Real Don't Recommand"
"12",1417,TRUE,2,FALSE,"Real Don't Recommand"
"13",1455,TRUE,1,FALSE,"Real Don't Recommand"
"14",1456,TRUE,1,FALSE,"Real Don't Recommand"
"15",1498,TRUE,1,FALSE,"Real Don't Recommand"
"16",1501,TRUE,2,FALSE,"Real Don't Recommand"
"17",1503,TRUE,3,FALSE,"Real Don't Recommand"
"18",1823,TRUE,5,FALSE,"Real Don't Recommand"
"19",2586,TRUE,3,FALSE,"Real Don't Recommand"
"20",2622,TRUE,2,FALSE,"Real Don't Recommand"
"21",3523,TRUE,5,FALSE,"Real Don't Recommand"
"22",3527,TRUE,1,FALSE,"Real Don't Recommand"
"23",3529,TRUE,3,FALSE,"Real Don't Recommand"
"24",3637,TRUE,4,FALSE,"Real Don't Recommand"
"25",3654,TRUE,5,FALSE,"Real Don't Recommand"
"26",3688,TRUE,2,FALSE,"Real Don't Recommand"
"27",3700,TRUE,1,FALSE,"Real Don't Recommand"
"28",3789,TRUE,1,FALSE,"Real Don't Recommand"
"29",3790,TRUE,2,FALSE,"Real Don't Recommand"
"30",4230,TRUE,1,FALSE,"Real Don't Recommand"
"31",4247,TRUE,2,FALSE,"Real Don't Recommand"
"32",5480,TRUE,3,FALSE,"Real Don't Recommand"
"33",5487,TRUE,2,FALSE,"Real Don't Recommand"
"34",5488,TRUE,3,FALSE,"Real Don't Recommand"
"35",5665,TRUE,5,FALSE,"Real Don't Recommand"
"36",6372,TRUE,1,FALSE,"Real Don't Recommand"
"37",6382,TRUE,2,FALSE,"Real Don't Recommand"
"38",6383,TRUE,2,FALSE,"Real Don't Recommand"
"39",6385,TRUE,2,FALSE,"Real Don't Recommand"
"40",6386,TRUE,3,FALSE,"Real Don't Recommand"
"41",6392,TRUE,3,FALSE,"Real Don't Recommand"
"42",6566,TRUE,1,FALSE,"Real Don't Recommand"
"43",15507,TRUE,2,FALSE,"Real Don't Recommand"
"44",15573,TRUE,3,FALSE,"Real Don't Recommand"
"45",15749,TRUE,1,FALSE,"Real Don't Recommand"
"46",15756,TRUE,2,FALSE,"Real Don't Recommand"
"47",15759,TRUE,2,FALSE,"Real Don't Recommand"
"48",17393,TRUE,2,FALSE,"Real Don't Recommand"
"49",17513,TRUE,1,FALSE,"Real Don't Recommand"
"50",17516,TRUE,1,FALSE,"Real Don't Recommand"
"51",17520,TRUE,2,FALSE,"Real Don't Recommand"
"52",17810,TRUE,2,FALSE,"Real Don't Recommand"
"53",17816,TRUE,3,FALSE,"Real Don't Recommand"
"54",18026,TRUE,1,FALSE,"Real Don't Recommand"
"55",18027,TRUE,1,FALSE,"Real Don't Recommand"
"56",18029,TRUE,3,FALSE,"Real Don't Recommand"
"57",18070,TRUE,3,FALSE,"Real Don't Recommand"
"58",18097,TRUE,3,FALSE,"Real Don't Recommand"
"59",18255,TRUE,3,FALSE,"Real Don't Recommand"
"60",18277,TRUE,5,FALSE,"Real Don't Recommand"
"61",18415,TRUE,1,FALSE,"Real Don't Recommand"
"62",18425,TRUE,1,FALSE,"Real Don't Recommand"
"63",18439,TRUE,1,FALSE,"Real Don't Recommand"
"64",18440,TRUE,1,FALSE,"Real Don't Recommand"
"65",18441,TRUE,2,FALSE,"Real Don't Recommand"
"66",18442,TRUE,2,FALSE,"Real Don't Recommand"
"67",18443,TRUE,2,FALSE,"Real Don't Recommand"
"68",18444,TRUE,2,FALSE,"Real Don't Recommand"
"69",18445,TRUE,3,FALSE,"Real Don't Recommand"
"70",18446,TRUE,3,FALSE,"Real Don't Recommand"
"71",18452,TRUE,3,FALSE,"Real Don't Recommand"
"72",18453,TRUE,3,FALSE,"Real Don't Recommand"
"73",18543,TRUE,1,FALSE,"Real Don't Recommand"
"74",18747,TRUE,3,FALSE,"Real Don't Recommand"
"75",18812,TRUE,3,FALSE,"Real Don't Recommand"
"76",21000,TRUE,1,FALSE,"Real Don't Recommand"
"77",21001,TRUE,1,FALSE,"Real Don't Recommand"
"78",21068,TRUE,1,FALSE,"Real Don't Recommand"
"79",21122,TRUE,1,FALSE,"Real Don't Recommand"
"80",21123,TRUE,2,FALSE,"Real Don't Recommand"
"81",21124,TRUE,2,FALSE,"Real Don't Recommand"
"82",21125,TRUE,3,FALSE,"Real Don't Recommand"
"83",21149,TRUE,1,FALSE,"Real Don't Recommand"
"84",21150,TRUE,1,FALSE,"Real Don't Recommand"
"85",21153,TRUE,1,FALSE,"Real Don't Recommand"
"86",21154,TRUE,1,FALSE,"Real Don't Recommand"
